,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
46,vt,smoothed_wearing_mask,2020-09-09,2020-12-09,91,10.981308400000003,2.142288,213.0,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-09,2020-12-09,91,9.189660500000002,0.6650165,1886.9914,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-09,2020-12-09,91,16.474185899999995,0.9671771,1470.9999,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-09,2020-12-09,91,20.444612899999996,1.7056835,559.0512,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-09,2020-12-09,91,40.7332588,3.6930359,177.0081,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-10,2020-12-09,90,21.9008264,2.1736979,362.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-10,2020-12-09,90,14.478603500000006,0.8821842,1591.0465,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-10,2020-12-09,90,15.402755600000006,1.125854,1027.9938,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-10,2020-12-09,90,12.523575800000003,0.6885628,2310.6401,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-10,2020-12-09,90,8.585034899999997,0.2899483,9335.0809,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-10,2020-12-09,90,14.024958799999993,0.7187787,2333.9074,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-10,2020-12-09,90,8.612294599999998,0.6923357,1642.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-10,2020-12-09,90,2.8888888999999978,1.119118,224.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-10,2020-12-09,90,7.411067200000005,1.1656663,505.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-10,2020-12-09,90,12.750180900000004,0.4002539,6943.9995,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-10,2020-12-09,90,17.975674600000005,0.7374833,2710.9622,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-10,2020-12-09,90,7.806324099999998,1.1937906,505.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-10,2020-12-09,90,25.770821100000006,1.0831796,1630.4292,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-10,2020-12-09,90,29.194933899999995,1.5752537,833.0495,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-10,2020-12-09,90,12.193776999999997,0.4861639,4529.9997,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-10,2020-12-09,90,15.915184699999998,0.7152294,2616.0045,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-10,2020-12-09,90,18.5057477,1.1104881,1222.9419,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-10,2020-12-09,90,14.3165391,0.9037002,1502.0567,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-10,2020-12-09,90,17.136458899999994,0.9540698,1559.9987,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-10,2020-12-09,90,6.803779000000006,0.5355244,2211.006,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-10,2020-12-09,90,5.729829699999996,0.5882428,1560.9993,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-10,2020-12-09,90,15.380047500000003,1.243991,841.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-10,2020-12-09,90,13.163508100000001,0.5205139,4218.9974,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-10,2020-12-09,90,14.193242699999999,0.7598912,2109.1154,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-10,2020-12-09,90,21.467978900000006,0.8782001,2186.0042,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-10,2020-12-09,90,14.1602216,1.1281356,955.0719,state,fb-survey
