,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
51,wy,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.058134270147978,0.00080278235088061,2870,state,safegraph
0,ak,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.054591214783255,0.00067111020288352,3625,state,safegraph
1,al,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.060784477547512,0.00025570140072512,24034,state,safegraph
2,ar,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.055108812283811,0.00031696836944521,14979,state,safegraph
3,az,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.043190588787691,0.00017533669071361,29109,state,safegraph
4,ca,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.050018745102967,9.1862813069974e-05,161828,state,safegraph
5,co,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.05473794356078,0.0002469521611968,24638,state,safegraph
6,ct,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.054094660905732,0.00030232412219468,18049,state,safegraph
7,dc,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.048739983587919,0.00066094214622893,3134,state,safegraph
8,de,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.047180909720061,0.00055867400905729,3986,state,safegraph
9,fl,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.049149436637202,0.00012542754754145,79569,state,safegraph
10,ga,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.051291939659417,0.00019767807112885,38636,state,safegraph
11,hi,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.029964247477374,0.00034581608597991,5864,state,safegraph
12,ia,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.066198759651494,0.00037981016061272,18389,state,safegraph
13,id,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.053137480558623,0.00047370110169981,6715,state,safegraph
14,il,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.046554215000246,0.00013456429248128,67720,state,safegraph
15,in,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.052222413621558,0.00021411313900333,33655,state,safegraph
16,ks,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.057845930130299,0.00034463650193337,16413,state,safegraph
